N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"66,700",700,-1.04%,100,"3,981,845","5,969,783",50.62,"13,844,794",10.47,13.92,
2,LG에너지솔루션,"440,500","3,500",-0.79%,500,"1,030,770","234,000",3.27,"152,621",140.38,10.68,
3,SK하이닉스,"107,000","1,000",-0.93%,"5,000","778,963","728,002",49.70,"3,066,615",7.35,16.84,
4,삼성바이오로직스,"843,000","4,000",-0.47%,"2,500","599,997","71,174",10.48,"49,378",117.70,8.21,
5,삼성전자우,"60,200",500,-0.82%,100,"495,378","822,887",72.36,"974,877",9.45,N/A,
6,NAVER,"290,000","2,000",+0.69%,100,"475,742","164,049",53.76,"606,231",35.26,106.72,
7,LG화학,"570,000","15,000",-2.56%,"5,000","402,376","70,592",47.80,"425,520",14.62,18.47,
8,현대차,"187,500","2,000",-1.06%,"5,000","400,628","213,668",26.90,"387,004",9.99,6.84,
9,삼성SDI,"569,000","6,000",-1.04%,"5,000","391,270","68,765",42.97,"244,112",28.77,8.45,
10,카카오,"83,700","1,300",-1.53%,100,"371,702","444,088",28.61,"1,139,536",15.08,17.10,
11,기아,"85,000",700,-0.82%,"5,000","344,559","405,363",36.21,"1,350,500",7.24,14.69,
12,POSCO홀딩스,"288,000","1,000",-0.35%,"5,000","251,098","87,187",53.33,"311,604",3.44,13.97,
13,KB금융,"58,200","2,200",-3.64%,"5,000","239,989","412,352",73.33,"1,752,506",5.49,9.80,
14,삼성물산,"119,000","2,000",-1.65%,100,"222,396","186,887",16.02,"282,594",16.93,5.40,
15,셀트리온,"157,500","3,000",-1.87%,"1,000","221,709","140,768",19.93,"302,689",44.30,15.81,
16,신한지주,"42,350",700,-1.63%,"5,000","217,228","512,934",62.57,"1,348,657",5.63,8.80,
17,현대모비스,"215,500","3,000",-1.37%,"5,000","203,805","94,573",34.35,"205,930",8.98,6.87,
18,SK이노베이션,"215,500",0,0.00%,"5,000","199,263","92,466",24.34,"231,209",13.70,1.91,
19,카카오뱅크,"39,850",800,-1.97%,"5,000","189,788","476,256",14.87,"1,110,426",85.33,4.91,
20,SK,"249,500","1,500",+0.60%,200,"185,003","74,149",21.79,"128,280",6.08,10.19,
21,LG전자,"104,000","1,000",-0.95%,"5,000","170,194","163,648",26.95,"655,177",14.93,6.32,
22,HMM,"30,850","1,600",-4.93%,"5,000","150,869","489,039",10.42,"4,618,566",1.58,88.62,
23,한국전력,"22,950",400,-1.71%,"5,000","147,331","641,964",14.81,"1,464,994",-1.30,-7.99,
24,하나금융지주,"47,600","1,900",-3.84%,"5,000","140,850","295,903",73.33,"1,644,225",4.05,10.86,
25,카카오페이,"104,500","1,000",-0.95%,500,"138,443","132,481",42.56,"285,521",-527.78,-2.45,
26,삼성생명,"66,900","1,200",-1.76%,500,"133,800","200,000",13.10,"467,423",9.11,4.01,
27,S-Oil,"115,000","1,000",-0.86%,"2,500","129,470","112,583",81.32,"311,556",7.04,21.76,
28,두산에너빌리티,"20,200",550,-2.65%,"5,000","127,707","632,215",9.97,"3,757,188",30.28,10.67,
29,LG,"80,200",0,0.00%,"5,000","126,155","157,301",36.74,"335,820",4.54,12.36,
30,SK텔레콤,"56,200",900,-1.58%,100,"122,984","218,833",48.51,"877,699",8.36,13.63,
31,크래프톤,"250,000","9,500",-3.66%,100,"122,680","49,072",29.46,"200,055",20.56,17.86,
32,KT&G,"85,200",200,+0.24%,"5,000","116,973","137,292",39.02,"415,624",12.09,10.74,
33,삼성에스디에스,"146,500","2,000",-1.35%,500,"113,358","77,378",12.96,"99,614",17.37,8.80,
34,LG생활건강,"723,000","11,000",-1.50%,"5,000","112,920","15,618",37.42,"56,584",18.32,16.65,
35,삼성전기,"149,000","5,500",-3.56%,"5,000","111,294","74,694",26.93,"955,151",11.86,14.29,
36,고려아연,"585,000","10,000",-1.68%,"5,000","110,390","18,870",20.09,"48,719",14.62,11.07,
37,우리금융지주,"14,600",300,-2.01%,"5,000","106,297","728,061",37.29,"2,859,266",4.09,10.59,
38,현대중공업,"119,500",500,+0.42%,"5,000","106,084","88,773",5.90,"259,583",-9.69,-14.87,
39,포스코케미칼,"135,000","4,500",+3.45%,500,"104,575","77,463",6.17,"619,212",80.17,7.92,
40,대한항공,"28,950",100,-0.34%,"5,000","100,694","347,821",13.29,"825,036",8.68,11.60,
41,SK바이오사이언스,"131,000","4,500",-3.32%,500,"100,587","76,784",4.66,"228,729",29.39,38.08,
42,엔씨소프트,"456,000","1,000",+0.22%,500,"100,110","21,954",42.28,"87,905",20.64,12.62,
43,KT,"37,650",250,-0.66%,"5,000","98,309","261,112",43.22,"698,799",6.71,9.36,
44,아모레퍼시픽,"162,000","1,500",-0.92%,500,"94,758","58,493",25.71,"159,954",63.58,4.20,
45,하이브,"227,000","4,000",-1.73%,500,"93,872","41,353",15.34,"136,558",58.52,6.83,
46,삼성화재,"197,000","2,000",-1.01%,500,"93,328","47,375",49.24,"84,015",8.88,7.09,
47,LG이노텍,"389,000","4,000",+1.04%,"5,000","92,065","23,667",25.73,"229,516",10.18,30.94,
48,SK아이이테크놀로지,"123,500","2,500",-1.98%,"1,000","88,053","71,298",9.73,"139,047",113.41,5.57,
49,기업은행,"11,150",100,-0.89%,"5,000","82,990","744,301",14.72,"821,625",3.68,9.21,
50,현대글로비스,"208,500","3,500",-1.65%,500,"78,188","37,500",44.98,"75,185",8.27,14.41,
51,한화솔루션,"38,650",400,-1.02%,"5,000","73,929","191,278",18.77,"1,270,614",22.29,8.79,
52,롯데케미칼,"204,500",0,0.00%,"5,000","70,093","34,275",24.64,"129,098",7.42,9.87,
53,넷마블,"80,800","2,700",-3.23%,100,"69,450","85,954",23.06,"218,716",49.33,4.29,
54,SK바이오팜,"84,100","2,600",-3.00%,500,"65,861","78,313",6.00,"223,694",-66.27,15.75,
55,SK스퀘어,"46,150","1,150",-2.43%,100,"65,287","141,468",40.52,"328,781",2.86,N/A,
56,한국조선해양,"89,100","2,300",-2.52%,"5,000","63,059","70,773",20.58,"158,183",-5.23,-8.95,
57,LG디스플레이,"17,350",0,0.00%,"5,000","62,081","357,816",16.72,"3,110,098",6.35,9.68,
58,한온시스템,"11,300",150,-1.31%,100,"60,319","533,800",17.25,"541,811",22.38,13.83,
59,SKC,"159,000","2,000",-1.24%,"5,000","60,211","37,868",14.78,"166,170",24.53,11.60,
60,강원랜드,"28,050",50,-0.18%,500,"60,010","213,940",20.41,"624,553",246.05,-0.33,
61,CJ제일제당,"397,500","4,000",+1.02%,"5,000","59,840","15,054",22.81,"42,349",10.07,10.76,
